Name,Latitude,Longitude
Chubut,-43.2934,-65.1115
Buenos Aires,-34.6038,-58.3817
Misiones,-27.4269,-55.9467
La Pampa,-36.6148,-64.2839
Entre Rios,-31.7747,-60.4956
Chaco,-27.4257,-59.0244
Tierra del Fuego,-54.8054,-68.3242
Rio Negro,-40.8261,-63.0266
Salta,-24.7998,-65.415
Santa Cruz,-51.6353,-69.2474
Santa Fe,-31.5855,-60.7238
Cordoba,-31.4355,-64.2009
Corrientes,-27.5048,-58.7804
Mendoza,-32.8896,-68.8527
San Juan,-31.5287,-68.536
Tucuman,-26.8221,-65.2193
Formosa,-26.1895,-58.2243
Jujuy,-24.1843,-65.3022
Neuquen,-38.9459,-68.0731
San Luis,-33.2962,-66.3295
La Rioja,-29.4194,-66.856
Catamarca,-28.4716,-65.7877
Santiago del Estero,-27.791,-64.2734